"Species after GB analysis","GB Number","Paper titles","Searched name",
"Anemia phyllitidis","SRX3868021","fern whole genome duplication study","Anemia phyllitidis"
"Physalis philadelphica","SRX686933|SRX686932|SRX686931|SRX686930|SRX686929|SRX686928|SRX686927|SRX686926|SRX686925|SRX686924|SRX686923|SRX686922|SRX686921|SRX686920|SRX686919|SRX686918|SRX686917|SRX686916|SRX686915|SRX686914|SRX686913|SRX686912|SRX686911|SRX686910|SRX686909|SRX686908|SRX686907|SRX686906|SRX686905|SRX686904|SRX686903|SRX686902|SRX686901|SRX686900|SRX686899|SRX686898|SRX686897|SRX686896|SRX686895|SRX686894|SRX686893|SRX686892|SRX686891|SRX686890|SRX686889|SRX686888|SRX686887|SRX686886|SRX686885|SRX686884|SRX686883|SRX686882|SRX686881|SRX686880|SRX686879|SRX686878|SRX686877|SRX686876|SRX686875|SRX686874|SRX686873|SRX686872|SRX686871|SRX686870|SRX686869|SRX686868|SRX686867|SRX686866|SRX686865|SRX686864|SRX686863|SRX686862|SRX686861|SRX686860|SRX686859|SRX686858|SRX686857|SRX686856|SRX686855|SRX686854|SRX686853|SRX686852|SRX686851|SRX686850|SRX686849|SRX686848|SRX686847|SRX686846|SRX686845|SRX686844|SRX686843|SRX686842|SRX686841|SRX686840|SRX686839|SRX686838|SRX686837|SRX686836|SRX686835|SRX686834|SRX686833|SRX686832|SRX686831|SRX686830|SRX686829|SRX686828|SRX686827|SRX686826|SRX686825|SRX686824|SRX686823|SRX686822|SRX686821|SRX686820|SRX686819|SRX686818|SRX686817|SRX686816|SRX686815|SRX686814|SRX686813|SRX686812|SRX686811|SRX686810|SRX686809|SRX686808|SRX686807|SRX686806|SRX686805|SRX686804|SRX686803|SRX686802|SRX686801|SRX686800|SRX686799|SRX686798|SRX686797|SRX686796|SRX686795|SRX686794|SRX686793|SRX686792|SRX686791|SRX686790|SRX686789|SRX686788|SRX686787|SRX686786|SRX686785|SRX686784|SRX686783|SRX686782|SRX686781|SRX686780|SRX686779|SRX686778|SRX686777|SRX686776|SRX686775|SRX686774|SRX686773|SRX686772|SRX686771|SRX686770|SRX686769|SRX686768|SRX686767|SRX686766|SRX686765|SRX686764|SRX686763|SRX686762|SRX686761|SRX686760|SRX686759|SRX686758|SRX686757|SRX686756|SRX686755|SRX686754|SRX686753|SRX686752|SRX686751|SRX686750|SRX686749|SRX686748|SRX686747|SRX686746|SRX686745|SRX686744","Physalis philadelphica genotyping by sequencing","Physalis philadelphica"
"Physalis pruinosa","SRX3997401|SRX3997400|SRX3997399|SRX3997398|SRX3997397|SRX3997396|SRX3997395|SRX3997394|SRX3644367","Physalis pruinosa Genome and Transcriptome sequencing and assembly|Assessment of Genetic Diversity and Systematics of the genus Physalis L. (Solanaceae) in India, using PCR based methods","Physalis pruinosa"
"Physalis pubescens","SRX8694705|SRX6401582|SRX6401581|SRX6401580|SRX6401579|SRX6401578|SRX6401577|SRX6401576|SRX6401575|SRX6401574|SRX6401573|SRX6401572|SRX2449593|SRX2449592|SRX2449591|SRX2449590|SRX2449589","Chromosome-level Physalis floridana  assembly|Comparative transcriptomics from multiple environments reveals robustly developmentally-regulated genes by fertilization in Physalis and differentially expressed genes with Solanum|Next Generation Sequencing Facilitates Quantitative Analysis of floral-fruit Transcriptomes","Physalis pubescens"
"Physalis virginiana","SRX8861197","DNA barcoding tallgrass prairie plants","Physalis virginiana"
"Solanum americanum","ERX4818407|ERX4791092|ERX4790954|ERX4790953|ERX4790952|ERX4790951|ERX4786709|ERX4786708|ERX4721966|ERX4721965|ERX4721964|ERX4721963|ERX4721962|ERX4721961|ERX4721960|ERX4721959|ERX4721958|ERX4721957|ERX4721956|ERX4713931|ERX4713930|ERX4713929|ERX4713928|ERX4713927|ERX4713926|ERX4713925|ERX4713924|ERX4713923|ERX4706773|ERX4706772|ERX4706771|ERX4706770|ERX4706769|ERX4706768|ERX4706767|ERX4706766|ERX4706765|ERX4706764|ERX4706763|ERX4706762|ERX4706761|ERX4706760|ERX4706759|ERX4595940|ERX4595939|ERX4595938|SRX4043287|ERX2225154|ERX2074242|ERX1043137|ERX1043136|ERX1043123|ERX1043122|ERX1043121|ERX1043120|ERX1043119|ERX1043114|ERX1043113|ERX1043112|ERX1043111|ERX1043110|ERX1043109|ERX1043090|ERX1042934","Various Illumina and PacBio data from S. americanum accesions resistant to P. infestans|High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads|Study to define NLRomes in multiple Solanaceae accessions using R gene enrichment and sequencing in combination with PacBio SMRT sequencing|Solanum americanum clone 954750186 Nanopore resistance-gene enrichment sequencing (RenSeq).|WGS and RenSeq on gDNA and cDNA of Solanum americanum","Solanum americanum"
"Solanum appendiculatum","SRX6763554|SRX6763553|SRX6763552|SRX6763551|SRX6763550|SRX6763549|SRX6763548|SRX6763547|SRX6763546|SRX6763545|SRX6763544|SRX6763543|SRX6763542|SRX6763541|SRX6763540|SRX6763539|SRX6763538|SRX6763537|SRX6763536|SRX6763535|SRX6763534|SRX6763533|SRX6763532|SRX6763531|SRX6763530|SRX6763529|SRX6763528|SRX5781769","Sequencing for Solanum appendiculatum|Phylogeny of multiple species of the genus Solanum (Solanaceae). Raw sequence reads","Solanum appendiculatum"
"Solanum stenophyllidium","SRX4645083|SRX3115798|SRX3115797","potato  genome resequencing","Solanum brachistotrichum"
"Solanum bulbocastanum","SRX4645101|SRX4645100","potato  genome resequencing","Solanum bulbocastanum"
"Solanum cardiophyllum","SRX10152543|SRX8168239|SRX8168238|SRX8168237|SRX8168236|SRX8168234|SRX8168233|SRX8168232|SRX8168231|SRX8168230|SRX8168229|SRX8168228|SRX8168227|SRX4645116|SRX4645115|SRX4645114","Complete chloroplast genome sequence of Solanum cardiophyllum|Solanum pinnatisectum and Solanum cardophyllum infected by Phytophthora infestans Raw sequence reads|potato  genome resequencing","Solanum cardiophyllum"
"Solanum carolinense","SRX5781772","Phylogeny of multiple species of the genus Solanum (Solanaceae). Raw sequence reads","Solanum carolinense"
"Solanum chrysotrichum","SRX4043085","High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads","Solanum chrysotrichum"
"Solanum ehrenbergii","SRX2645991","Genome diversity of tuber bearing Solanum uncovers complex evolutionary history and targets of domestication in the cultivated potato","Solanum ehrenbergii"
"Solanum elaeagnifolium","SRX5781703|SRX1030234","Phylogeny of multiple species of the genus Solanum (Solanaceae). Raw sequence reads|Solanum elaeagnifolium Transcriptome or Gene expression","Solanum elaeagnifolium"
"Solanum erianthum","SRX9767961|SRX4043227","Solanum erianthum sequencing;|High-depth whole genome sequencing of 760 vascular plants with specimens and images available Raw sequence reads","Solanum erianthum"
"Solanum stoloniferum","ERX2842753|ERX2825241|ERX2825240|ERX2825239|ERX2825238","Cloning of the PVY resistance gene derived from S. stoloniferum.","Solanum fendleri"
"Solanum hjertingii","SRX10152557","Complete chloroplast genome sequence of Solanum hjertingii","Solanum hjertingii"
"Solanum iopetalum","SRX10877361","Complete chloroplast genome sequence of Solanum iopetalum","Solanum iopetalum"
"Solanum jamesii","SRX10152558|SRX4645155|SRX4645154|SRX2645990","Complete chloroplast genome sequence of Solanum jamesii|potato  genome resequencing|Genome diversity of tuber bearing Solanum uncovers complex evolutionary history and targets of domestication in the cultivated potato","Solanum jamesii"
"Solanum lycocarpum","SRX6384002|SRX6384001|SRX6384000|SRX6383999|SRX6383998|SRX6383997","Re-establishment of Desiccation Tolerance in Solanum lycocarpum","Solanum leucocarpum"
"Solanum polyadenium","SRX4645210|SRX4645209","potato  genome resequencing","Solanum polyadenium"
"Solanum stenophyllidium","SRX4645083|SRX3115798|SRX3115797","potato  genome resequencing","Solanum stenophyllidium"
"Solanum stoloniferum","ERX2842753|ERX2825241|ERX2825240|ERX2825239|ERX2825238","Cloning of the PVY resistance gene derived from S. stoloniferum.","Solanum stoloniferum"
"Solanum torvum","SRX9839064|SRX9839063|SRX9839062|SRX9839061|SRX9839060|SRX9839059|SRX9839058|SRX9839057|SRX9839056|SRX9839055|SRX9839054|SRX9839053|SRX9839052|SRX9839051|SRX9839050|SRX9839049|SRX9839048|SRX9839047|SRX9839046|SRX9839045|SRX9839044|SRX9839043|SRX9839042|SRX9839041|SRX9839040|SRX9839039|SRX9839038|SRX9839037|SRX9839036|SRX9839035|SRX9839034|SRX9839033|SRX9839032|SRX9839031|SRX9839030|SRX9839029|SRX9839028|SRX9839027|SRX9839026|SRX9839025|SRX9839024|SRX9839023|SRX9839022|SRX9839021|SRX9839020|SRX9839019|SRX9839018|SRX9839017|SRX9839016|SRX9839015|SRX9839014|SRX9839013|SRX9839012|SRX9839011|SRX9839010|SRX9839009|SRX9839008|SRX9839007|SRX9839006|SRX9839005|SRX9839004|SRX9839003|SRX9839002|SRX9839001|SRX9839000|SRX9838999|SRX9838998|SRX9838997|SRX9838996|SRX9838995|SRX9838994|SRX9838993|SRX9838992|SRX9838991|SRX9838990|SRX9838989|SRX9838988|SRX9838987|SRX9838986|SRX9838985|SRX9838984|SRX9838983|SRX9838982|SRX9838981|SRX9838980|SRX9838979|SRX9838978|SRX9838977|SRX9838976|SRX9838975|SRX9838974|SRX9838973|SRX9838972|SRX9838971|SRX9838970|SRX9838969|SRX9838968|SRX9838967|SRX9838966|SRX9838965|SRX9838964|SRX9838963|SRX9838962|SRX9838961|SRX9838960|SRX9838959|SRX9838958|SRX9838957|SRX9838956|SRX9838955|SRX9838954|SRX9838953|SRX9838952|SRX9838951|SRX9838950|SRX9838949|SRX9838948|SRX9838947|SRX9838946|SRX9838945|SRX9838944|SRX9838943|SRX9838942|SRX9838941|SRX9838940|SRX9838939|SRX9838938|SRX9838937|SRX9838936|SRX9838935|SRX9838934|SRX9838933|SRX9473542|SRX5816454|SRX3982062|SRX3982061|SRX3982060|SRX3982059|SRX3982058|SRX1802451|SRX513903|SRX514587|SRX514586|SRX514585|SRX423296|SRX268284|SRX153735|SRX153734|SRX153733|SRX153732|SRX153731|SRX153684","Solanum torvum infected with Meloidogyne arenaria Transcriptome|The study of Mitochondria  genetic  in Solanum|Single Primer Enrichment Technology (SPET) for high-throughput genotyping in eggplant|Transcriptome analysis reveals multiple signal network contributing to the Verticillium wilt resistance in eggplants|Solanum torvum Raw sequence reads|Analysis of small RNAs from Solanum torvum Swartz by deep sequencing|Eggplant (Solanum melongena L.) and Turkey berry (Solanum torvum Sw.) Transcriptome|Solanum torvum transcritional responses to nematodes|Solanum nigrum and Solanum torvum Transcriptome or Gene expression","Solanum torvum"
"Solanum verrucosum","SRX10152579|SRX4645253|SRX4645252|SRX4645249|SRX4645248|SRX4645246|SRX4645245|SRX4645239|SRX4645238|SRX4645237|ERX2050128|ERX2049383|ERX2048819|ERX2048809|ERX2048808|ERX2048806|ERX2048793|ERX2276116|ERX2276115|ERX2276114|ERX2276113|ERX2276112|ERX2276111|ERX2276110|ERX2276109|ERX2276108|SRX2645988","Complete chloroplast genome sequence of Solanum verrucosum|potato  genome resequencing|We compare several technologies for a plant genome sequencing project and offer best practice guidance for the non-specialist. We show that one can realistically produce a plant assembly with a good gene space and contiguity that is usually good enough for downstream analysis.|Identification and rapid mapping of a gene conferring broad-spectrum late blight resistance in the diploid potato species Solanum verrucosum through DNA capture technologies|Genome diversity of tuber bearing Solanum uncovers complex evolutionary history and targets of domestication in the cultivated potato","Solanum verrucosum"
"Tzeltalia amphitricha","ERX4840437","Data for release 1.0 of the Kew Tree of Life Explorer","Tzeltalia amphitricha"
"Stegnosperma cubense","ERX3663455","A phylogenomic analysis of Nepenthes (Nepenthaceae)","Stegnosperma cubense"
"Anacampseros coahuilensis","SRX2857946","Targeted sequence capture study of the Portullugo","Grahamia coahuilensis"
"Talinum fruticosum","SRX9314398|SRX9314397|SRX9210518|SRX9007794|SRX4338122|SRX4338121|SRX4338120|SRX4338119|SRX4338118|SRX4338117|SRX4338116|SRX4338115|SRX4338114|SRX4338113|SRX4338112|SRX4338111|SRX4338110|SRX4338109|SRX4338108|SRX4338107|SRX4338106|SRX4338105|SRX4338104|SRX4338103|SRX4338102|SRX4338101|SRX4338100|SRX4338099|SRX1299271|SRX1299270|SRX1299269|SRX1299268|SRX1299267|SRX1299266|SRX1299265|SRX1299264|SRX1299263|SRX1299262|SRX1299261|SRX1299260|SRX1299259|SRX1299258|SRX1299257|SRX1097982|SRX1097981|SRX1097980|SRX1097979|SRX1097978|SRX1097977|SRX1084572|SRX1084571|SRX1084570|SRX1084569|SRX1084568|SRX1084567|SRX1084566|SRX1084565|SRX1084564|SRX1084563|SRX1084562|SRX1084561|SRX1084560|SRX1084559|SRX1084558|SRX3745127|SRX2857961|SRX2843338|SRX2843337|SRX2843336|SRX2843335|SRX2843334|SRX2843333|SRX2843332|SRX2843331|SRX2843330|SRX2843329|SRX2843328|SRX2843327|SRX2843326|SRX2843325|SRX2843324|SRX2843323|SRX2843322|SRX2843321|SRX2843320|SRX2843319|SRX2843318|SRX2843317|SRX2843316|SRX2843315","Genome sequencing of Talinum fruticosum|Transcript and Metabolite Changes during the Early Phase of ABA-mediated Induction of CAM in Talinum triangulare|Reversible Burst of Transcriptional Changes During Induction of Crassulacean Acid Metabolism (CAM) in Talinum triangulare|Transcriptome of Talinum fruticosum leaves|Targeted sequence capture study of the Portullugo|Temporal changes of a pivotal gene set defines plasticity of facultative CAM in Talinum triangulare","Talinum fruticosum"
"Talinum paniculatum","SRX3746791","Stranded transcriptome sequencing from 43 species across the plant order Caryophyllales","Talinum paniculatum"
"Polypremum procumbens","SRX8491473|ERX2099666|SRX1244311","Asterid phylogenomics/phylotranscriptomics uncover morphological evolutionary histories and phylogenetic placement for numerous whole genome duplications|1000 Plant (1KP) Transcriptomes: The Remaining Data|Basal lamiid phylogeny based on plastid genomes","Polypremum procumbens"
"Ticodendron incognitum","ERX4143499","Data for the release 0.1 of the Kew Tree of Life","Ticodendron incognitum"
"Tovaria pendula","SRX4321618","Angiosperms353","Tovaria pendula"
"Trigonia eriosperma","ERX4143466","Data for the release 0.1 of the Kew Tree of Life","Trigonia eriosperma"
"Sparganium americanum","SRX8165887","DNA Barcodes from the Global Genome Initiative for Gardens Program","Sparganium americanum"
"Sparganium eurycarpum","SRX10508622|SRX10503401|SRX8861258","Sparganium eurycarpum isolate:XUAN042 Raw sequence reads|Sparganium eurycarpum isolate:Tisshaw K. sn Raw sequence reads|DNA barcoding tallgrass prairie plants","Sparganium eurycarpum"
"Typha latifolia","SRX8861241|SRX8165860|ERX2099850|SRX1639026","DNA barcoding tallgrass prairie plants|DNA Barcodes from the Global Genome Initiative for Gardens Program|1000 Plant (1KP) Transcriptomes: The Remaining Data|From Acorus to Zingiber - Assembling the Phylogeny of the Monocots","Typha latifolia"
"Ulmus americana","SRX9401349|SRX9401338|SRX9401327|SRX9401316|SRX9401305|SRX9401294|SRX9401283|SRX9401266|SRX9401265|SRX9401264|SRX9401263|SRX9401261|SRX8861240|SRX8607291|SRX4161481|SRX4161480|SRX4161479|SRX4161478|SRX4161477|SRX4161476|SRX4161475|SRX4161474|SRX4161473|SRX4161472|SRX4161471|SRX4161470|SRX3255493|SRX3255492|SRX3255491|SRX3255490|SRX3255489|SRX3255488|SRX3086812","Phylogeny of Elms|DNA barcoding tallgrass prairie plants|Ulmus americana|Transcriptomic changes of American elm and Ophiostoma novo-ulmi during compatible and incompatible in planta interactions|Community Transcriptomics of Wabikon Lake Forest Dynamics Plot, Wisconsin, U.S.A.","Ulmus americana"
"Ulmus crassifolia","SRX9401279|SRX9401278","Phylogeny of Elms","Ulmus crassifolia"
"Ulmus mexicana","SRX9401317","Phylogeny of Elms","Ulmus mexicana"
"Ulmus serotina","SRX9401350","Phylogeny of Elms","Ulmus serotina"
"Boehmeria caudata","ERX4839782","Data for release 1.0 of the Kew Tree of Life Explorer","Boehmeria caudata"
"Cecropia obtusifolia","SRX7344870|SRX7344869|SRX7344868|SRX7344867|SRX7344866|SRX7344865|SRX7344864|SRX7344863|SRX7344862|SRX7344861|SRX7344860|SRX7344859|SRX7344858|SRX7344857|SRX7344856|SRX7344855|SRX7344854|SRX7344853|SRX7344852|SRX7344851|SRX7344850|SRX7344849|SRX7344848|SRX7344847|SRX7344846|SRX7344845|SRX7344844|SRX7344843|SRX7344842|SRX7344841|SRX7344840|SRX7344839|SRX7344838|SRX7344837|SRX7344836|SRX7344835|SRX7344834|SRX7344833|SRX7344832|SRX7344831|SRX7344830|SRX7344829|SRX7344828|SRX7344827|SRX7344826","Integrated analysis of transcriptome and metabolome of Cecropia obtusifolia: a plant with high content of chlorogenic acid, and traditionally used in the treatment of diabetes mellitus.","Cecropia obtusifolia"
"Cecropia peltata","ERX145699|ERX145703|ERX145702|ERX145701|ERX145700|ERX145698|ERX145697","Cecropia_peltata_transcriptome","Cecropia peltata"
"Discocnide mexicana","ERX4840012","Data for release 1.0 of the Kew Tree of Life Explorer","Discocnide mexicana"
"Hesperocnide tenella","ERX4839763","Data for release 1.0 of the Kew Tree of Life Explorer","Hesperocnide tenella"
"Laportea canadensis","ERX4010679","Combination of Sanger and target-enrichment markers resolves phylogenetic relationships and supports generic delimitation in the problematic 'Urera clade' of the nettle family (Urticaceae)","Laportea canadensis"
"Myriocarpa obovata","ERX4840237","Data for release 1.0 of the Kew Tree of Life Explorer","Myriocarpa obovata"
"Pilea cadierei","ERX4010677","Combination of Sanger and target-enrichment markers resolves phylogenetic relationships and supports generic delimitation in the problematic 'Urera clade' of the nettle family (Urticaceae)","Pilea cadierei"
"Pilea microphylla","SRX9474088","raw sequence reads of Pilea species","Pilea microphylla"
"Rousselia humilis","ERX4839777","Data for release 1.0 of the Kew Tree of Life Explorer","Rousselia humilis"
"Urera baccifera","ERX4010680","Combination of Sanger and target-enrichment markers resolves phylogenetic relationships and supports generic delimitation in the problematic 'Urera clade' of the nettle family (Urticaceae)","Urera baccifera"
"Urtica dioica|Urtica dioica subsp. dioica|Urtica dioica subsp. sondenii|Urtica dioica subsp. subinermis|Urtica dioica subsp. pubescens|Urtica dioica subsp. kurdistanica","SRX8861100|SRX7629208|SRX7629207|SRX7629206|SRX7629205|SRX7629204|SRX7629202|SRX7629201|SRX7629200|SRX7629198|SRX7629197|SRX7629196|SRX7629195|SRX7629194|SRX7629193|SRX7629192|SRX7629191|SRX7629190|SRX7629189|SRX7629188|SRX7629187|SRX7629186|SRX7629185|SRX7629184|SRX7629183|SRX7629182|SRX7629181|SRX7629179|SRX7629178|SRX7629177|SRX7629175|SRX7629174|SRX7629172|SRX7629169|SRX7629168|SRX7629167|SRX7629166|SRX7629165|SRX7629164|SRX7629163|SRX7629162|SRX7629161|SRX7629160|SRX7629159|SRX7629158|SRX7629157|SRX7629156|SRX7629155|SRX7629154|SRX7629153|SRX7629152|SRX7629151|SRX7629150|SRX7629149|SRX7629148|SRX7629147|SRX7629146|SRX7629145|SRX7629144|SRX7629143|SRX7629142|SRX7629141|SRX7629140|SRX7629139|SRX7629138|SRX7629137|SRX7629136|SRX7629135|SRX7629134|SRX7629133|SRX7629132|SRX7629131|SRX7629130|SRX7629129|SRX7629128|SRX7629127|SRX7629126|SRX7629125|SRX7629124|SRX7629123|SRX7629122|ERX3149968|SRX5315343|SRX5315342|SRX5315341|SRX5315340|SRX5315339|SRX5315338|SRX5315337|SRX5315336|SRX5315335|SRX5315334|SRX5315333|SRX5315332|SRX5315331|SRX5315330|SRX5315329|SRX5315328|SRX5315327|SRX5315326|SRX5315325|SRX5315324|SRX5315323|SRX5315322|SRX5315321|SRX5315320|SRX5315319|SRX5315318|SRX5315317|SRX5315316|SRX5315315|SRX5315314|SRX5315313|SRX5315312|SRX5315311|SRX5315310|SRX5315309|SRX5315308|SRX5315307|SRX5315306|SRX5315305|SRX5315304|SRX5315303|SRX5315302|SRX5315301|SRX5315300|SRX5315299|SRX5315298|SRX5315297|SRX5315296|SRX5315295|SRX5315294|SRX5315293|SRX5315292|SRX5315291|SRX5315290|SRX5315289|SRX5315288|SRX5315287|SRX5315286|SRX5315285|SRX5315284|SRX5315283|SRX5315282|SRX5315281|SRX5315280|SRX5315279|SRX5315278|SRX5315277|SRX5315276|SRX5315275|SRX5315274|SRX5315273|SRX5315272|SRX5315271|SRX5315270|SRX5315269|SRX5315268|ERX2099488|SRX1787462|SRX1787461|SRX1787460|SRX1787459|SRX1787458","DNA barcoding tallgrass prairie plants|Study of eurasian Urtica complex|Semi-quantitative characterisation of mixed pollen samples with genome skims using Reverse Metagenomics and MinION sequencing|Transcriptomic analysis of nettle stem tissues|1000 Plant (1KP) Transcriptomes: The Remaining Data|The evolution of CHROMOMETHYLTRANSFERASES and gene body DNA methylation in plants","Urtica dioica"
"Urtica gracilis","SRX7629176","Study of eurasian Urtica complex","Urtica gracilis"
"Aloysia citrodora","SRX2855181","FDA GenomeTrakrCP: cpDNA for botanical product identification","Aloysia citriodora"
"Duranta erecta","SRX10205028|SRX8528027","Duranta erecta|Asterid phylogenomics/phylotranscriptomics uncover morphological evolutionary histories and phylogenetic placement for numerous whole genome duplications","Duranta erecta"
"Lantana camara","SRX7695422|SRX6491876|SRX6491875|SRX4964657|ERX2099667","De Novo Transcritpome Assembly of the Root tissue of Lantana camara|Lantana camara Transcriptome Assembly|De Novo Transcriptome Assembly of the Leaf of Lantana camara|1000 Plant (1KP) Transcriptomes: The Remaining Data","Lantana camara"
"Lippia alba","SRX6455808|SRX2977764","Transcriptome of Lippia alba leaves using Roche 454 platform|Lippia alba Raw sequence reads","Lippia alba"
"Phyla dulcis","ERX2099669|SRX096988|SRX040284|SRX040283","1000 Plant (1KP) Transcriptomes: The Remaining Data|Transcriptome analysis of Lippia dulcis    using Illumina data.|Phyla dulcis Transcriptome or Gene expression","Phyla dulcis"
"Verbena bracteata","SRX8861099","DNA barcoding tallgrass prairie plants","Verbena bracteata"
"Viola nephrophylla","SRX8861090","DNA barcoding tallgrass prairie plants","Viola nephrophylla"
"Viola sororia","SRX8861088","DNA barcoding tallgrass prairie plants","Viola sororia"
"Ampelocissus erdvendbergiana","SRX8541410|SRX8541315","Hybseq reveal relationships within the grape family (Vitacea)","Ampelocissus erdvendbergiana"
